Timestamp,Location,Temperature_C,Humidity_%,Condition
2026-08-19T15:16:34.176625,"Sundar Bajar,Nepal",N/A,N/A,Report Sent
2026-08-19T15:22:52.640646,"Sundar Bajar,Nepal",0.2,29,GOOD
2026-08-19T15:27:50.108802,"Sundar Bajar,Nepal",0.2,29,GOOD
2026-08-19T15:30:28.126284,"Sundar Bajar,Nepal",30.5,66,MODERATE
2026-08-19T09:48:28.891825,"Sundar Bajar,Nepal",0.2,29,GOOD
2026-08-19T09:49:32.956408,"Sundar Bajar,Nepal",0.2,29,GOOD
2026-08-19T09:57:06.297163,"Sundar Bajar,Nepal",0.2,29,GOOD
2026-08-19T10:11:01.222890,"Kalanki, Kathmandu",26.0,74,MODERATE
2026-08-19T10:21:46.192014,"Kalanki, Kathmandu",25.7,74,MODERATE
2026-08-19T10:34:12.458381,"Sundar Bajar,Nepal",29.5,63,MODERATE
2026-08-19T10:41:14.787537,"Sundar Bajar,Nepal",29.5,63,MODERATE
2026-08-19T13:56:10.288028,"Sundar Bajar,Nepal",25.0,61,MODERATE
2026-08-20T02:31:00.083416,"Sundar Bajar,Nepal",25.2,61,MODERATE
2026-08-20T07:07:38.322497,"Sundar Bajar,Nepal",30.6,62,MODERATE
2026-08-20T09:49:18.536699,"Sundar Bajar,Nepal",27.7,67,MODERATE
2026-08-20T13:57:40.015737,"Sundar Bajar,Nepal",24.4,79,MODERATE
2026-08-21T02:37:23.037046,"Sundar Bajar,Nepal",24.0,66,MODERATE
2026-08-21T07:08:41.973272,"Sundar Bajar,Nepal",30.2,73,MODERATE
2026-08-21T09:51:09.839581,"Sundar Bajar,Nepal",26.7,85,MODERATE
2026-08-21T13:56:59.191128,"Sundar Bajar,Nepal",25.0,93,MODERATE
2026-08-22T02:20:53.325237,"Sundar Bajar,Nepal",24.1,63,MODERATE
2026-08-22T07:00:23.361768,"Sundar Bajar,Nepal",27.1,76,MODERATE
2026-08-22T09:40:08.646207,"Sundar Bajar,Nepal",28.4,86,MODERATE
2026-08-22T13:43:26.708165,"Sundar Bajar,Nepal",24.9,79,MODERATE
2026-08-23T02:37:14.230650,"Sundar Bajar,Nepal",26.1,72,MODERATE
2026-08-23T07:01:53.217019,"Sundar Bajar,Nepal",30.1,73,MODERATE
2026-08-23T09:41:26.734734,"Sundar Bajar,Nepal",28.4,73,MODERATE
2026-08-23T13:45:03.179596,"Sundar Bajar,Nepal",24.3,81,MODERATE
2026-08-24T02:37:35.494667,"Sundar Bajar,Nepal",25.9,69,MODERATE
2026-08-24T07:29:31.290062,"Sundar Bajar,Nepal",30.7,69,MODERATE
2026-08-24T10:02:16.861915,"Sundar Bajar,Nepal",29.2,80,MODERATE
2026-08-24T14:00:59.089079,"Sundar Bajar,Nepal",24.1,68,MODERATE
2026-08-25T02:31:46.896849,"Sundar Bajar,Nepal",25.6,59,MODERATE
2026-08-25T07:09:15.409383,"Sundar Bajar,Nepal",29.4,58,MODERATE
2026-08-25T09:50:27.504096,"Sundar Bajar,Nepal",29.2,60,MODERATE
2026-08-25T14:01:56.213700,"Sundar Bajar,Nepal",24.7,57,MODERATE
2026-08-26T02:39:16.166591,"Sundar Bajar,Nepal",25.6,57,MODERATE
2026-08-26T07:09:44.538519,"Sundar Bajar,Nepal",30.7,55,MODERATE
2026-08-26T09:56:04.230189,"Sundar Bajar,Nepal",27.0,65,MODERATE
2026-08-26T14:02:53.713540,"Sundar Bajar,Nepal",24.5,56,MODERATE
2026-08-27T11:12:03.093884,"Sundar Bajar,Nepal",28.2,60,MODERATE
2026-08-27T17:38:51.081047,"Sundar Bajar,Nepal",23.3,59,MODERATE
2026-08-27T19:49:38.383051,"Sundar Bajar,Nepal",23.3,60,MODERATE
2026-08-27T22:57:05.060496,"Sundar Bajar,Nepal",22.8,60,MODERATE
2026-08-28T12:46:36.109166,"Sundar Bajar,Nepal",25.9,66,MODERATE
2026-08-28T18:43:53.114776,"Sundar Bajar,Nepal",24.0,61,MODERATE
2026-08-28T20:49:44.384331,"Sundar Bajar,Nepal",23.7,61,MODERATE
2026-08-28T23:01:09.445051,"Sundar Bajar,Nepal",23.5,61,MODERATE
2026-08-29T07:53:06.227896,"Sundar Bajar,Nepal",30.3,60,MODERATE
2026-08-29T12:41:58.831151,"Sundar Bajar,Nepal",26.3,60,MODERATE
2026-08-29T14:27:10.636885,"Sundar Bajar,Nepal",25.1,60,MODERATE
2026-08-29T17:06:13.472284,"Sundar Bajar,Nepal",23.6,59,MODERATE
2026-08-30T06:39:39.237247,"Sundar Bajar,Nepal",30.4,54,MODERATE
2026-08-30T11:56:01.098355,"Sundar Bajar,Nepal",26.5,52,MODERATE
2026-08-30T14:24:38.216111,"Sundar Bajar,Nepal",26.2,51,MODERATE
2026-08-30T17:27:17.973178,"Sundar Bajar,Nepal",25.4,51,MODERATE
2026-08-31T07:01:57.776070,"Sundar Bajar,Nepal",28.9,50,GOOD
2026-08-31T13:53:34.867372,"Sundar Bajar,Nepal",24.3,51,MODERATE
2026-08-31T17:03:01.348605,"Sundar Bajar,Nepal",23.7,53,MODERATE
2026-08-31T19:31:37.447984,"Sundar Bajar,Nepal",23.3,54,MODERATE
2026-09-01T06:14:50.320937,"Sundar Bajar,Nepal",28.2,54,MODERATE
2026-09-01T11:40:42.883792,"Sundar Bajar,Nepal",26.8,48,GOOD
2026-09-01T14:07:58.158029,"Sundar Bajar,Nepal",24.3,46,GOOD
2026-09-01T17:19:02.318245,"Sundar Bajar,Nepal",23.7,45,GOOD
2026-09-02T05:50:09.413468,"Sundar Bajar,Nepal",26.9,45,GOOD
2026-09-02T11:20:21.439839,"Sundar Bajar,Nepal",26.0,53,MODERATE
2026-09-02T13:38:00.665860,"Sundar Bajar,Nepal",24.3,54,MODERATE
2026-09-02T17:09:30.890721,"Sundar Bajar,Nepal",23.7,55,MODERATE
2026-09-03T05:47:42.077397,"Sundar Bajar,Nepal",27.1,58,MODERATE
2026-09-03T11:16:21.421045,"Sundar Bajar,Nepal",25.9,56,MODERATE
2026-09-03T13:34:20.659852,"Sundar Bajar,Nepal",23.8,55,MODERATE
2026-09-03T17:01:59.413094,"Sundar Bajar,Nepal",23.5,53,MODERATE
2026-09-04T05:54:04.590483,"Sundar Bajar,Nepal",27.6,56,MODERATE
2026-09-04T11:19:52.757814,"Sundar Bajar,Nepal",25.8,57,MODERATE
